DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2018.05.07,119507,119780,118975,119218,65117
2018.05.08,119218,119387,118380,118640,101635
2018.05.09,118638,118969,118226,118501,92730
2018.05.10,118502,119465,118429,119149,122785
2018.05.11,119145,119679,118911,119417,85555
2018.05.14,119418,119961,119260,119262,80250
2018.05.15,119261,119385,118201,118374,110146
2018.05.16,118374,118543,117631,118069,130008
2018.05.17,118065,118374,117763,117931,115750
2018.05.18,117938,118221,117498,117705,87408
2018.05.21,117696,117957,117166,117911,78020
2018.05.22,117911,118297,117565,117780,99635
2018.05.23,117782,117896,116758,116951,140803
2018.05.24,116948,117503,116907,117192,113681
2018.05.25,117202,117335,116452,116492,107336
2018.05.28,116823,117284,116073,116238,91144
2018.05.29,116230,116396,115098,115391,161703
2018.05.30,115349,116762,115186,116622,143785
2018.05.31,116622,117244,116409,116906,128391
2018.06.01,116879,117179,116166,116596,118620
2018.06.04,116554,117445,116554,116978,90141
2018.06.05,116966,117321,116526,117167,100777
2018.06.06,117118,117956,117107,117735,100373
2018.06.07,117728,118398,117723,117979,112147
2018.06.08,117981,118103,117269,117693,90929
2018.06.11,117732,118204,117710,117828,74392
2018.06.12,117821,118090,117329,117454,96897
2018.06.13,117461,118008,117249,117912,101323
2018.06.14,117908,118519,115628,115659,138338
2018.06.15,115680,116270,115430,116070,115763
2018.06.18,115874,116242,115652,116222,76216
2018.06.19,116224,116443,115305,115877,128559
2018.06.20,115872,115999,115359,115704,105384
2018.06.21,115695,116335,115078,116025,137199
2018.06.22,115983,116749,115982,116539,127058
2018.06.25,116635,117130,116284,117027,106506
2018.06.26,117027,117205,116347,116460,121598
2018.06.27,116455,116721,115404,115524,122606
2018.06.28,115516,116006,115271,115679,131958
2018.06.29,115672,116903,115580,116831,142851
2018.07.02,116841,116894,115912,116388,95314
2018.07.03,116386,116731,116203,116550,92957
2018.07.04,116559,116817,116305,116555,75752
2018.07.05,116554,117203,116499,116895,99612
2018.07.06,116892,117679,116800,117435,89473
2018.07.09,117382,117908,117326,117496,88040
2018.07.10,117495,117626,116902,117438,80664
2018.07.11,117424,117584,116653,116714,113328
2018.07.12,116718,116957,116496,116705,95067
2018.07.13,116698,116867,116128,116856,90837
2018.07.16,116895,117254,116755,117108,82627
2018.07.17,117094,117446,116491,116602,96980
2018.07.18,116591,116649,116019,116380,93327
2018.07.19,116381,116785,115747,116409,134415
2018.07.20,116419,117388,116262,117209,146710
2018.07.23,117261,117497,116833,116915,73082
2018.07.24,116913,117165,116542,116856,76859
2018.07.25,116856,117382,116635,117280,79792
2018.07.26,117290,117433,116397,116423,77509
2018.07.27,116403,116640,116199,116565,65298
2018.07.30,116563,117184,116477,117050,50121
2018.07.31,117027,117455,116855,116906,70827
2018.08.01,116895,116993,116568,116594,62909
2018.08.02,116590,116671,115813,115840,61156
2018.08.03,115838,116102,115598,115672,68396
2018.08.06,115681,115708,115296,115532,46317
2018.08.07,115532,116078,115500,115979,49278
2018.08.08,115980,116278,115729,116096,49821
