timestamp,close,typical,variation,sma8,sma20,ema8,ema20,ppo,roc,rsi,williamsr,atr,sd
2013-11-30T14:10-03:00[America/Santiago],1129.9,1128.8433333333333333333333333333,1,1124.6625,1122.565,1126.3565908324491454757500741322,1123.7641972853816882108325946902,0.084134075328173298175292633871384,-1.1884668864616218768856745577137,57.294613581508319228681479056478,-38.217714182213367143633399746423,9.2447857847107152928117639998390,5.42426257566832
2013-11-30T14:15-03:00[America/Santiago],1129.5,1129.5433333333333333333333333333,0.99964598637047526329763695902292,1126.495,1124.04,1127.0551262030160020366945021028,1124.3104642105834321907532999578,0.11062628531431983786951180369030,-1.2234475159380493051972470244602,56.731771551342981331995821579081,-42.156862745098039215686274509804,8.8260464954751795281711757998471,5.649355751602413
2013-11-30T14:20-03:00[America/Santiago],1130.0,1129.0,1.0004426737494466578131916777335,1127.99625,1124.519,1127.7095426023457793618735016355,1124.8523247619564386487767951999,0.13364347523090140417502340958120,-1.5336354130359010108051585918438,57.296488742164101353517858070201,-6.6666666666666666666666666666667,8.5347441707014205517626170098547,5.876991976672892
2013-11-30T14:25-03:00[America/Santiago],1125.83,1127.53,0.99630973451327433628318584070796,1128.725,1124.499,1127.2918664684911617259016123832,1124.9454366893891587774647194666,0.12060276722652086789957033565905,-1.7574631098545337137970452978699,51.284740428925848130359312117110,-20.006713662302786169855656260490,8.3630069621663495241744861593620,5.8933517108480045
2013-11-30T14:30-03:00[America/Santiago],1128.98,1126.45,1.0027979357451835534672197401029,1128.93,1124.6065,1127.6670072532709035645901429647,1125.3296808142092388938966509460,0.13132209373369322483504443032736,-1.6216593034097543547782744708476,55.115853219375027932003571813561,-9.3109243697478991596638655462185,8.3263566140580320479657618513939,6.019386198283146
2013-11-30T14:35-03:00[America/Santiago],1127.0,1126.45,0.99824620453861007280908430618789,1129.01375,1124.6355,1127.5187834192107027724590000837,1125.4887588319035970944779222845,0.12419651480427131087372763272013,-1.7933390264730999146029035012810,52.330050300073407511128965632953,-15.966386554621848739495798319328,8.1925387833551304455674737588242,5.843079807143923
2013-11-30T14:40-03:00[America/Santiago],1128.69,1127.7366666666666666666666666667,1.0014995563442768411712511091393,1128.725,1124.848,1127.7790537704972132674681111762,1125.7936389431508735616705011145,0.12916250131088325611469336601042,-1.6392156862745098039215686274510,54.446471365763677445532260630305,-10.285714285714285714285714285714,7.9259118441873739232891000708830,4.830318999057211
2013-11-30T14:45-03:00[America/Santiago],1125.0,1125.02,0.99673072322781277410094888764851,1128.1125,1124.881,1127.1614862659422769858085309148,1125.7180542818984094129399771988,0.10545418375047551126743970504095,-1.9607843137254901960784313725490,49.299795209087680672501893421023,-22.689075630252100840336134453782,7.8956162519780052271246450673389,3.693035640891915
2013-11-30T14:50-03:00[America/Santiago],1120.1,1121.7333333333333333333333333333,0.99564444444444444444444444444444,1126.8875,1124.669,1125.5922670957328821000733018226,1125.1830014931461799450409317513,0.050962360705272410743005414630002,-2.2574761992024224019825998935400,43.429066699644447350031420582708,-39.159663865546218487394957983193,7.7458354393791049657684128139720,3.3510535199959954
2013-11-30T14:55-03:00[America/Santiago],1119.9,1119.6666666666666666666666666667,0.99982144451388268904562092670297,1125.6875,1124.447,1124.3273188522366860778347903065,1124.6798584937989247121798906321,0.0062432818741722095071222408552724,-2.6156976643072053427016122019513,43.202926046349349650961145828018,-39.831932773109243697478991596639,7.4135436674101497174799921732734,3.366277617784962
2013-11-30T15:00-03:00[America/Santiago],1117.83,1118.52,0.99815162068041789445486204125368,1124.16625,1124.107,1122.8834702184063113938715035717,1124.0274910181990271205437105719,-0.043579389798618699884103714404395,-2.5932606592946958408490837319949,40.833001681826068282686683803123,-46.789915966386554621848739495798,7.1463664840396422316059925646097,4.124456179365978
2013-11-30T15:05-03:00[America/Santiago],1117.51,1117.6233333333333333333333333333,0.99971373106823041070645804818264,1123.12625,1124.0325,1121.6893657254271310841222805558,1123.4067775878943578709681190889,-0.084427760275203756318194330141799,-3.1074695452377855811332206181992,40.463472457572875345804374294599,-47.865546218487394957983193277311,6.8060481598376601200256929363792,4.721381024182459
2013-11-30T15:10-03:00[America/Santiago],1120.0,1118.5033333333333333333333333333,1.0022281679805997261769469624433,1122.00375,1124.382,1121.3139511197766575098728848767,1123.0823225795234666451616315566,-0.097801692511457699734749602883046,-2.8915767113192005895868556812763,44.660185143622025166583907925647,-39.495798319327731092436974789916,6.6902457518457771140244082895602,4.705187107255748
2013-11-30T15:15-03:00[America/Santiago],1119.99,1118.66,0.99999107142857142857142857142857,1121.1275,1124.6395,1121.0197397598262891743455771263,1122.7878156671878983932414761703,-0.10724448380557237834333844365046,-2.7676734353703108857770408118972,44.646573856033314468124172585675,-69.544648137196924896510940272028,6.5557334642534882583231878750822,4.6615175005745995
2013-11-30T15:20-03:00[America/Santiago],1119.99,1119.99,1,1120.04,1124.7395,1120.7909087020871138022687822093,1122.5213570322176223557899070112,-0.11342697588413594350763320621131,-2.7617641951727730508768883486716,44.646573856033314468124172585672,-72.413793103448275862068965517241,6.2279467910408138454070284813281,4.50761374040113
2013-11-30T15:25-03:00[America/Santiago],1116.01,1115.75,0.99644639684282895382994491022241,1118.91625,1124.54,1119.7284845460677551795423861628,1121.9012277910540392742861063435,-0.14530023358397458923562301389524,-3.0829085288013130585057880522097,39.140328092466391967638932626618,-95.278450363196125907990314769976,6.1545494514887731531366770572617,4.583397779386122
2013-11-30T15:30-03:00[America/Santiago],1119.8,1118.3433333333333333333333333333,1.0033960269173215293769769088091,1118.87875,1124.163,1119.7443768691638095840885225711,1121.7011108585727022005445724060,-0.14166438633540941371187024790920,-2.7537754774166094953582687080442,45.973398912989766838931572566066,-72.336561743341404358353510895884,6.0853219789143344954798432043986,4.143675350237186
2013-11-30T15:35-03:00[America/Santiago],1119.4,1118.1433333333333333333333333333,0.99964279335595642078942668333631,1118.81625,1123.8165,1119.6678486760162963431799619997,1121.4819574434705400862069940816,-0.14005115422832808413846232724307,-2.4317963915279351520962259217293,45.394115177316623332084832717747,-74.757869249394673123486682808717,6.0095558799686177707058510441787,4.037857332389877
